age,job,marital,education,default,balance,housing,loan,contact,day,duration,campaign,pdays,previous,poutcome,y
43,technician,married,secondary,no,297,yes,no,cellular,14,119,3,-1,0,unknown,no
35,entrepreneur,married,primary,no,0,no,yes,telephone,21,26,10,-1,0,unknown,no
32,technician,single,tertiary,no,1150,no,no,cellular,8,31,2,-1,0,unknown,no
61,retired,married,tertiary,no,2557,yes,no,cellular,10,158,2,92,5,success,yes
25,admin.,single,secondary,no,507,yes,no,cellular,15,832,1,367,3,failure,yes
29,blue-collar,single,primary,no,722,yes,no,cellular,15,78,1,359,1,failure,no
39,blue-collar,married,primary,no,2366,yes,no,cellular,16,1007,3,325,4,failure,no
30,blue-collar,single,secondary,yes,4,yes,no,unknown,23,84,3,-1,0,unknown,no
29,blue-collar,married,secondary,no,832,yes,no,unknown,16,228,2,-1,0,unknown,no
33,management,single,tertiary,no,2364,no,no,cellular,17,508,1,-1,0,unknown,yes
50,blue-collar,divorced,secondary,no,2402,yes,no,unknown,19,219,1,-1,0,unknown,no
35,blue-collar,married,secondary,no,365,yes,yes,cellular,20,63,2,-1,0,unknown,no
47,blue-collar,married,secondary,no,387,yes,no,unknown,7,122,2,-1,0,unknown,no
45,self-employed,married,tertiary,no,-497,yes,yes,cellular,15,217,1,176,1,failure,no
50,technician,married,secondary,no,10757,yes,no,cellular,6,276,3,-1,0,unknown,no
56,retired,divorced,tertiary,no,158,no,yes,cellular,21,854,1,-1,0,unknown,yes
37,management,single,tertiary,no,240,no,no,unknown,5,1123,1,-1,0,unknown,yes
43,management,married,primary,no,62,yes,no,cellular,18,96,3,-1,0,unknown,no
34,technician,married,secondary,no,1795,yes,no,cellular,29,201,2,-1,0,unknown,no
51,admin.,married,secondary,no,-895,yes,no,cellular,20,104,5,-1,0,unknown,no
32,blue-collar,married,primary,no,244,yes,no,unknown,16,128,2,-1,0,unknown,no
46,entrepreneur,married,tertiary,no,120,no,no,unknown,17,171,4,-1,0,unknown,no
30,technician,single,tertiary,no,0,yes,no,cellular,5,140,1,424,8,success,yes
57,management,married,tertiary,no,2681,no,no,cellular,11,266,2,-1,0,unknown,yes
32,blue-collar,married,primary,no,103,no,no,cellular,23,312,1,-1,0,unknown,no
32,services,single,tertiary,no,945,no,no,cellular,20,531,1,-1,0,unknown,yes
33,management,single,tertiary,no,1781,no,no,cellular,8,611,2,183,1,success,yes
43,admin.,single,secondary,no,375,no,yes,cellular,21,163,4,-1,0,unknown,no
42,management,married,tertiary,no,1205,no,no,telephone,15,129,1,188,2,success,no
31,admin.,single,secondary,no,-182,yes,no,cellular,7,181,2,-1,0,unknown,no
56,management,divorced,tertiary,no,535,yes,no,cellular,24,67,1,-1,0,unknown,no
39,self-employed,divorced,tertiary,no,1415,no,no,unknown,17,134,1,-1,0,unknown,no
34,technician,divorced,secondary,no,0,yes,yes,cellular,18,374,16,-1,0,unknown,no
40,management,single,tertiary,no,242,yes,no,unknown,6,221,2,-1,0,unknown,no
47,admin.,married,secondary,no,407,yes,no,unknown,5,67,12,-1,0,unknown,no
35,blue-collar,married,primary,no,2953,yes,no,telephone,6,97,2,-1,0,unknown,no
58,unknown,married,unknown,no,1547,no,no,telephone,5,1186,4,-1,0,unknown,yes
37,blue-collar,single,primary,no,7027,no,no,unknown,9,65,1,-1,0,unknown,no
29,technician,single,secondary,no,120,no,no,cellular,2,110,3,-1,0,unknown,no
43,entrepreneur,married,tertiary,no,1,yes,yes,cellular,15,61,2,-1,0,unknown,no
68,retired,married,primary,no,451,no,no,cellular,5,373,1,-1,0,unknown,yes
54,technician,divorced,secondary,no,7449,yes,no,unknown,19,235,7,-1,0,unknown,no
48,management,married,tertiary,no,7867,yes,yes,unknown,30,306,3,-1,0,unknown,no
44,blue-collar,married,primary,no,3057,yes,no,unknown,26,98,4,-1,0,unknown,no
32,blue-collar,single,secondary,no,3662,no,no,telephone,28,309,1,-1,0,unknown,no
31,management,married,tertiary,no,0,no,no,cellular,26,76,2,-1,0,unknown,no
38,technician,divorced,tertiary,no,348,no,no,unknown,20,446,1,-1,0,unknown,no
41,technician,married,unknown,no,30,yes,no,cellular,10,151,1,-1,0,unknown,no
37,management,single,tertiary,no,2173,no,no,cellular,21,158,3,114,1,failure,no
49,blue-collar,married,primary,no,2068,yes,no,unknown,3,45,1,-1,0,unknown,no
36,services,married,primary,no,0,yes,no,unknown,2,1036,1,-1,0,unknown,yes
50,blue-collar,married,secondary,no,917,yes,no,cellular,30,58,2,-1,0,unknown,no
39,blue-collar,married,primary,no,-176,no,no,cellular,9,176,1,-1,0,unknown,no
44,management,single,secondary,no,109,yes,no,cellular,20,101,4,328,3,failure,no
40,management,married,secondary,no,0,yes,no,cellular,12,223,4,258,3,failure,no
37,management,married,tertiary,no,1852,no,no,cellular,13,117,2,370,1,failure,no
38,unemployed,divorced,secondary,no,0,yes,no,unknown,30,281,4,-1,0,unknown,no
38,technician,single,secondary,no,2442,no,no,cellular,27,161,1,100,3,success,no
40,technician,single,secondary,no,2017,yes,no,cellular,28,105,1,244,1,other,no
47,admin.,married,secondary,no,290,yes,no,cellular,22,1352,2,-1,0,unknown,yes
35,unemployed,single,tertiary,no,154,no,no,cellular,29,105,2,-1,0,unknown,no
34,blue-collar,married,secondary,no,800,no,no,cellular,5,144,1,-1,0,unknown,yes
24,blue-collar,single,secondary,no,1690,yes,yes,cellular,15,543,3,350,3,failure,no
40,technician,married,secondary,no,170,no,no,cellular,28,12,24,-1,0,unknown,no
35,admin.,divorced,secondary,no,534,no,no,cellular,15,669,1,312,3,failure,yes
23,student,single,tertiary,no,82,no,no,cellular,4,289,4,-1,0,unknown,no
48,management,married,primary,no,1513,no,no,cellular,29,166,2,-1,0,unknown,no
33,management,married,tertiary,no,4570,no,no,cellular,22,1258,2,-1,0,unknown,yes
34,technician,married,secondary,no,0,yes,yes,telephone,13,60,2,-1,0,unknown,no
